id,expected_scope_decision,title,source_url,rationale
sig_0029b5ee9d3930ca0109,exclude,Standard Eurobarometer Surveys,https://ted.europa.eu/en/notice/-/detail/82556-2026,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_00d53995e6dda209c0d4,exclude,Framework agreement for multi-function machines - Cooperating municipalities.,https://ted.europa.eu/en/notice/-/detail/639618-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_00f20ceb21774d71d11b,exclude,Multi-function devices and secure printing Etelä-Pohjanmaan hyvinvointialue for service needs,https://ted.europa.eu/en/notice/-/detail/639977-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_02fc63f01dc49ba3ebee,retain,"Material para la realización de Técnicas Analíticas Automáticas de Hematimetría en el laboratorio de Hematología del Hospital Universitario Miguel Servet, incluyendo la cesión de uso de los equipos analizadores y conexión informática al Sistema de Información del Laboratorio",https://contrataciondelestado.es/wps/poc?idEvl=jrV4bJ4WTENJ8Trn0ZPzLw%3D%3D&uri=deeplink%3Adetalle_licitacion,Native-language IT support/interface or a data-space/AI delivery; generic computing words are not the Informatica brand.
sig_04e3dda93ccd422a0486,exclude,White Horse Reservoir (WHR) Independent Technical Advisor (ITA),https://www.find-tender.service.gov.uk/Notice/088653-2026,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_067a55e513d17b79d88b,exclude,VOIS - Electronic door locks - Competition documents for a hearing,https://ted.europa.eu/en/notice/-/detail/803419-2025,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_077ef83a016c7df29302,retain,Healthcare at Short-Term Holding Facilities,https://www.find-tender.service.gov.uk/Notice/084421-2026,Retain stated software/interface/support scope or an explicitly mixed software category; qualify before bidding.
sig_0c79396474e2a85e8600,exclude,"Procurement of the supply of processless negative thermal offset plates for the Editions, Publications and Official Gazette Department.",https://contrataciondelestado.es/wps/poc?idEvl=EtevmflosXxQFSeKCRun4Q%3D%3D&uri=deeplink%3Adetalle_licitacion,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_0c9265f89abca98baa10,exclude,Koblenz City Administration_Provision of Employee Counselling / Health Management,https://oeffentlichevergabe.de/ui/de/notices/5757f643-0362-4faa-95b1-70d8ae3f95ab,"Reviewed human/physical work: travel promotion, occupational health, survey execution, specialist asset advice, industry representation or fitness equipment."
sig_0d12cdda3828efb26d46,exclude,Provision of Planned Heritable Asset Valuations,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=NOV542782,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_0da38754af3f6c2a0493,exclude,"Servicio de asesoramiento jurídico, adecuación, mantenimiento, cumplimiento de la normativa y desempeño de funciones de delegado de protección de datos del Excmo. Ayuntamiento de Almodóvar del Campo",https://contrataciondelestado.es/wps/poc?idEvl=uvm3%2Bxw5IaO5HQrHoP3G5A%3D%3D&uri=deeplink%3Adetalle_licitacion,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_0e663d5e487c316de937,exclude,"Karolinen Gymnasium, extension, general refurbishment",https://ted.europa.eu/en/notice/-/detail/742486-2025,"Purchased scope reviewed as physical goods, human services, content access or incidental software use."
sig_0ec2cfdd458cb16afbcf,retain,Servicio de Mantenimiento y Soporte Premier de los Distintos Sistemas Físicos y Lógicos Oracle instalados en el Departamento de Informática Tributaria de la AEAT,https://contrataciondelestado.es/wps/poc?idEvl=sJohfrEF1Z4QyBAnWzHfCg%3D%3D&uri=deeplink%3Adetalle_licitacion,Native-language IT support/interface or a data-space/AI delivery; generic computing words are not the Informatica brand.
