change,id,source,title,lifecycle,published_before,source_url,exclusion_reason
removed_candidates,sig_0029b5ee9d3930ca0109,ted,Standard Eurobarometer Surveys,FUTURE,True,https://ted.europa.eu/en/notice/-/detail/82556-2026,"Execution of surveys or market research without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_00809bf58fc0a4bbcad5,spain,"Suministro, entrega e instalación de equipamiento informático para aulas de informática y Servicios de la Usal. No clónicos.. Lote1:140 ordenadores pc para aulas de informática.Lote2: 30 ordenadores pc para el laboratorio de informática y automática.Lote3: 21 ordenadores pc para el personal técnico de las aulas de informática.Lote4: 26 ordenadores pc para servicios centrales",CLOSED,False,https://contrataciondelestado.es/wps/poc?idEvl=wr4K7ysGx%2BbgL1BHd3qjQA%3D%3D&uri=deeplink%3Adetalle_licitacion,
removed_candidates,sig_00d53995e6dda209c0d4,ted,Framework agreement for multi-function machines - Cooperating municipalities.,OPEN,True,https://ted.europa.eu/en/notice/-/detail/639618-2026,"Physical IT, printing or compute capacity supply without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_00f20ceb21774d71d11b,ted,Multi-function devices and secure printing Etelä-Pohjanmaan hyvinvointialue for service needs,OPEN,True,https://ted.europa.eu/en/notice/-/detail/639977-2026,"Physical IT, printing or compute capacity supply without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_04b96aa7862bfbec0206,spain,"Suministro de material de oficina requerido por los diferentes departamentos y oficinas municipales del Iltre. Ayuntamiento de Palma del Río, así como por el Patronato Deportivo Municipal, el Patronato Municipal de Cultura y el Instituto de Bienestar Social ( en adelante Ayuntamiento de Palma del Río y sus Organismos Autónomos)",CLOSED,False,https://contrataciondelestado.es/wps/poc?idEvl=uXCKfDCCwJ%2B8ebB%2FXTwy0A%3D%3D&uri=deeplink%3Adetalle_licitacion,
removed_candidates,sig_04e3dda93ccd422a0486,find_tender,White Horse Reservoir (WHR) Independent Technical Advisor (ITA),EARLY_ENGAGEMENT,True,https://www.find-tender.service.gov.uk/Notice/088653-2026,"Engineering or surveying advice for physical infrastructure without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_067a55e513d17b79d88b,ted,VOIS - Electronic door locks - Competition documents for a hearing,FUTURE,True,https://ted.europa.eu/en/notice/-/detail/803419-2025,"Physical security, cameras or access hardware without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_090ee49833e18ab61a4b,spain,Suministro de agendas escolares Municipales para su distribución en los centros escolares de primaria y secundaria de la localidad para los periodos escolares 2026/2027 y 2027/2028.,CLOSED,False,https://contrataciondelestado.es/wps/poc?idEvl=%2FRj1CI0FYm0%2Bk2oCbDosIw%3D%3D&uri=deeplink%3Adetalle_licitacion,
removed_candidates,sig_0c2a3898b89baa6b6dce,ted,Procurement of GPU computing resources for AI-based climate and weather modelling,EXPIRED,False,https://ted.europa.eu/en/notice/-/detail/611368-2026,"Physical IT, printing or compute capacity supply without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_0c79396474e2a85e8600,spain,"Procurement of the supply of processless negative thermal offset plates for the Editions, Publications and Official Gazette Department.",OPEN,True,https://contrataciondelestado.es/wps/poc?idEvl=EtevmflosXxQFSeKCRun4Q%3D%3D&uri=deeplink%3Adetalle_licitacion,"Specialist physical equipment or consumables without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_0c9265f89abca98baa10,germany,Koblenz City Administration_Provision of Employee Counselling / Health Management,OPEN,True,https://oeffentlichevergabe.de/ui/de/notices/5757f643-0362-4faa-95b1-70d8ae3f95ab,"Occupational health or workplace safety services without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_0da38754af3f6c2a0493,spain,"Servicio de asesoramiento jurídico, adecuación, mantenimiento, cumplimiento de la normativa y desempeño de funciones de delegado de protección de datos del Excmo. Ayuntamiento de Almodóvar del Campo",AWARDED,False,https://contrataciondelestado.es/wps/poc?idEvl=uvm3%2Bxw5IaO5HQrHoP3G5A%3D%3D&uri=deeplink%3Adetalle_licitacion,"Legal representation or insurance services without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_0e663d5e487c316de937,ted,"Karolinen Gymnasium, extension, general refurbishment",FUTURE,True,https://ted.europa.eu/en/notice/-/detail/742486-2025,"Physical construction, refurbishment, engineering or ecological works without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_105025cecae9ce77ce5c,ted,"New construction of Leverkusen sewage treatment plant transfer station: IC&I (Instrumentation, Control and Electrical) technology",OPEN,True,https://ted.europa.eu/en/notice/-/detail/588108-2026,"Physical construction, refurbishment, engineering or ecological works without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_1369a4870c68a6301cb0,spain,"Contratación de personas físicas para los servicios de dirección académica, docencia y suministro de libros para el alumnado de Grados B de F.P de Turismo y restauración, Comercio e Informática, aprobada el 29 de septiembre de 2025 por Resolución de concesión de la línea 1, para el período 2025-2027, orden EFP/942/2022 de 23 de septiembre 2025",CLOSED,False,https://contrataciondelestado.es/wps/poc?idEvl=22VHd3VNYVR%2FP7lJ7Fu0SA%3D%3D&uri=deeplink%3Adetalle_licitacion,
removed_candidates,sig_1678167d26ba6188b55a,ted,"Selection of suppliers and establishment of the rules governing contracts for the supply of computers and tablets carried out by the UZ resulting from this Framework Agreement, in 2 lots: Lot 1: personal computers with macOS operating system and Lot 2: tablets with IOS operating system.",OPEN,True,https://ted.europa.eu/en/notice/-/detail/632673-2026,"Physical IT, printing or compute capacity supply without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_1861d4ebc1be1716f6d2,ted,Servicio de limpieza de edificios y dependencias de todas las instalaciones de la Empresa Municipal de Transportes de Madrid (3 Lotes),AWARDED,False,https://ted.europa.eu/en/notice/-/detail/606430-2026,"Non-technology service delivery without a stated software, AI or systems scope."
removed_candidates,sig_188e0976d8f1b026399f,grants,"Space Technology Research, Development, Demonstration, and Infusion (SpaceTech REDDI-2026)",OPEN,True,https://www.grants.gov/search-results-detail/360954,
removed_candidates,sig_18bda200f9df4ee08031,scotland,"High Voltage Equipment, Supply, Delivery, Positioning and Inspection Phase 2",AWARDED,False,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=AUG562140,"Specialist physical equipment or consumables without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_18c5c2e50bd6c07a5f12,spain,"Contratación de obras comprendidas en el ""Proyecto ejecutivo de edificio para aula informática y biblioteca municipal en Palavea""",AWARDED,False,https://contrataciondelestado.es/wps/poc?idEvl=Yh7714dKIEsl5NjlNci%2BtA%3D%3D&uri=deeplink%3Adetalle_licitacion,"Non-technology service delivery without a stated software, AI or systems scope."
removed_candidates,sig_1c30bb87bf364eacb2de,find_tender,Health & Safety Construction Consultant,EXPIRED,False,https://www.find-tender.service.gov.uk/Notice/057564-2025,"Engineering or surveying advice for physical infrastructure without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_1f024fd589d16849dd6a,spain,"Suministro de material de oficina, papelería y consumibles de informática para el Ayuntamiento de Chiclana de la Frontera.",AWARDED,False,https://contrataciondelestado.es/wps/poc?idEvl=GDbKxmK2TinzAq95uGTrDQ%3D%3D&uri=deeplink%3Adetalle_licitacion,
removed_candidates,sig_1f077f7b60104f57abec,spain,"Servicio de monitores, especialistas y coordinación para el desarrollo del programa socio-educativo de natación escolar, cursos escolares 2026/2027 y 2027/2028.",CLOSED,False,https://contrataciondelestado.es/wps/poc?idEvl=b5gmY%2BOus5KFlFRHfEzEaw%3D%3D&uri=deeplink%3Adetalle_licitacion,
removed_candidates,sig_20bf707e7edd67d50547,grants,Development and Maintenance of Human and Animal Food Rapid Response Teams (U2F) Clinical Trials Not Allowed,FUTURE,True,https://www.grants.gov/search-results-detail/351257,
removed_candidates,sig_297b51c15d42267c782e,spain,Suministro de Equipamiento Informático para Universidad Politécnica de Cartagena en dos lotes: Lote 1: Ordenador de Sobremesa para el Puesto de Usuario de Personal Técnico de Gestión y de Administración y Servicios de la Universidad Politécnica de Cartagena (35) y Lote 2: Ordenador de sobremesa para las Aulas de Informática de la Universidad Politécnica de Cartagena (100).,CLOSED,False,https://contrataciondelestado.es/wps/poc?idEvl=5oOfzZIXD1FVkTabT%2FRM8A%3D%3D&uri=deeplink%3Adetalle_licitacion,
removed_candidates,sig_2be2ba0a1c15db9af092,germany,Rental of a digital multifunction device incl. full service and provision of consumables,OPEN,True,https://oeffentlichevergabe.de/ui/de/notices/25825752,"Physical IT, printing or compute capacity supply without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_2eb5101bd0da08e98c1d,ted,Framework agreement company health services,OPEN,True,https://ted.europa.eu/en/notice/-/detail/641318-2026,"Occupational health or workplace safety services without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_307484b7150b849f59c1,scotland,"High Voltage Equipment, Supply, Delivery, Installation & Commissioning",FUTURE,True,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=NOV543669,"Specialist physical equipment or consumables without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_34027aab9fdbef45c334,find_tender,Server Infrastructure Upgrade & Maintenance,CANCELLED,False,https://www.find-tender.service.gov.uk/Notice/085319-2026,"Physical IT, printing or compute capacity supply without a separately stated business-application, Salesforce or AI delivery scope."
removed_candidates,sig_349a20a80745914701b1,ted,"Mantenimiento integral de los elementos de transporte vertical y de intemperie, como ascensores, escaleras mecánicas, rampas y plataforma giratoria",AWARDED,False,https://ted.europa.eu/en/notice/-/detail/628953-2026,"Non-technology service delivery without a stated software, AI or systems scope."
