action,id,title,countries,source,source_url,lifecycle,reason,scope_quote,source_hash
exclude_scope,sig_6a35801afcf1528ed0a2,26011 - Delivery and management of Microsoft & Adobe Licences,NO,ted,https://ted.europa.eu/en/notice/-/detail/612643-2026,OPEN,"Resale or renewal of unrelated product licences without a separately stated business-application, Salesforce or AI delivery scope.","The framework agreement is for the provision and management of Microsoft and Adobe licenses, as well as accompanying cloud services licensed by Microsoft and Adobe, including Microsoft 365, Azure and Adobe Creative Cloud.",da489f1c194dcb30b748eac7858feafe94b9b3a529c2bacb0be4f401d94c8218
exclude_scope,sig_20a93003bace18499ac9,85x HP ThinPro PC Converter E-LTU,DE,ted,https://ted.europa.eu/en/notice/-/detail/644387-2025,FUTURE,"Physical computing, network or measurement equipment without a separately stated business-application, Salesforce or AI delivery scope.",85x HP ThinPro PC Converter E-LTU,061e6c77ce278b0b1dec79e400309d6eb96c17e244df2053964b21648b8f81ac
exclude_scope,sig_1ddeb46bea46e0e2674c,AI server 2026,DE,germany,https://oeffentlichevergabe.de/ui/de/notices/d4c5a037-8604-4711-bf69-1e81dcb32627,OPEN,"Physical computing, network or measurement equipment without a separately stated business-application, Salesforce or AI delivery scope.",Lot LOT-0001: KI-Server 2026.,6107d342ed8b2f79bd1a325d069d7280904555db510fcbfa76907e7acbe99ccf
exclude_scope,sig_3304679c33a0b4e4dcae,AI server appliances for training and inference of large AI models - PR1275979-2880-I,DE,ted,https://ted.europa.eu/en/notice/-/detail/613419-2026,OPEN,"Physical computing, network or measurement equipment without a separately stated business-application, Salesforce or AI delivery scope.",AI server systems lot 1: 2 x NVIDIA DGX B300 incl.,b1fae3ec6e8a8ead989c4b085044d5666a5e6dfa3d43736cf252437117ca25f4
exclude_scope,sig_ee6d13a9045a9a7508c0,AT1541 - Marketing and Creative Agency Support,GB,find_tender,https://www.find-tender.service.gov.uk/Notice/085998-2026,FUTURE,"Creative, advertising or public relations services without a separately stated business-application, Salesforce or AI delivery scope.",Luton Rising is seeking a creative agency partner to support the development and implementation of its brand identity and wider communications.,ed5736d4055c6a8d6725a1ab659fcc8066cefd698c09072278392bcbb5850d7c
exclude_scope,sig_802a70b318f49ae3c600,ArcSight Support Extension,DE,ted,https://ted.europa.eu/en/notice/-/detail/614680-2026,OPEN,"Resale or renewal of unrelated product licences without a separately stated business-application, Salesforce or AI delivery scope.",Verlängerung ArcSight Support,bbd288c2fbe0889062b1522c0cd8ae8075d8f44109ef8e1255b27557418dc02a
exclude_scope,sig_66e141be9c3c6dfc9404,Audit of the proof of use for TU Berlin and Charité for the years 2026-2029 (with optional audits for financial years 2030 and 2031),DE,germany,https://oeffentlichevergabe.de/ui/de/notices/25799362,OPEN,"Financial audit or insurance services without a separately stated business-application, Salesforce or AI delivery scope.",Audit of the proof of use for TU Berlin and Charité for the years 2026-2029 (with optional audits for financial years 2030 and 2031) Lot LOT-0000: Audit of the proof of use for TU Berlin and Charité for the years 2026-2029 (with optional audits for financial years 2030 and 2031).,e8e7b5b8379882ec59f502210551b9de03a222ecacbd0c2fb50823f65ebb7730
exclude_scope,sig_c09b7fcf592e3c2f3463,BMUV - Building automation according to DIN 18 386 - Award 1853/2026,DE,ted,https://ted.europa.eu/en/notice/-/detail/591521-2026,OPEN,"Construction, building control or physical maintenance without a separately stated business-application, Salesforce or AI delivery scope.","see section 5 Brief description of service KG480 Stresemannstraße 128-130, 10117 Berlin, extension building of the Federal Ministry for the Environment, Nature Conservation and Nuclear Safety in Berlin, 7-storey + underground car park, two building sections A+B The measure includes the following services: • Construction of management and operating equipment incl.",e1674acc878af08c46de5162c9d3f82be77805b6af54bcaa12e9d76c2f6acbfa
exclude_scope,sig_e669d6d8d234ca77e8c7,Berlin Zoological Garden station - Section 223: Building automation construction phases BA 1 and BA 2,DE,ted,https://ted.europa.eu/en/notice/-/detail/592069-2026,OPEN,"Construction, building control or physical maintenance without a separately stated business-application, Salesforce or AI delivery scope.","Demontage, Neubau):  2.BA – Feldgeräte, Automation, Automation Dienstleistungen / Engineering, Schaltanlagen  2.BA – Vorbereitung zur Aufschaltung auf GLT und 3S-Zentrale, Verkabelung und Trassen  3.BA – Feldgeräte, Automation, Automation Dienstleistungen / Engineering, Schaltanlagen  3.BA – Vorbereitung zur Aufschaltung auf GLT und 3S-Zentrale, Verkabelung und Trassen  2.+3.BA – Demontage vorhandener Gebäudeautomation  1.BA – Mängelbeseitigung: Bestandsaufnahme + techn.",08d2991dab8a2dc204e38335d8b84b87cdb88b7ca0220ff39e90add496edc8fe
exclude_scope,sig_6843844a50b42fe77e59,Breeding and resting bird survey in EU Special Protection Areas 2027 / 2028,DE,germany,https://oeffentlichevergabe.de/ui/de/notices/35077e7d-d9ed-4c64-bf16-1f07afbcaccd,OPEN,"Non-technology service delivery without a stated software, AI or systems scope.; Physical field surveys or sampling without a separately stated business-application, Salesforce or AI delivery scope.","Veranlassung Hintergrund Mit Inkrafttreten des novellierten Bundesnaturschutzgesetzes (BNatSchG) am 01.03.2010 ist das Monitoring gemäß EU-Richtlinie 2009/147/EG (""Vogelschutz-Richtlinie"") in § 6 BNatSchG eingegliedert worden.",1fe5a24ad9a5a5dd0f91f1b3dd892c7eff3bff991f50dce1a2313dbbbe94820a
