id,source,title,source_url,published_before,before,after,previous_lifecycle,lifecycle,previous_capabilities,capabilities,reasons
sig_010954a2e4986fd03efb,scotland,Implementation Support Provider (ISP) - Social Work Case Management System,https://api.publiccontractsscotland.gov.uk/v1/Notice?id=ocds-r6ebe6-0000831939,False,candidate,candidate,AWARDED,AWARDED,,service,
sig_01348e7b27a4973fe5ff,digital_outcomes,RM1043.9-2-Ministry Of Justice,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/76119,True,candidate,candidate,OPEN,UNKNOWN,portals|integration,portals|integration,
sig_05e35f5cff1badd10e7a,digital_outcomes,prj_17226 Prisons Digital Priorities and OMU Transformation,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/75009,False,below_threshold,candidate,OPEN,UNKNOWN,,transformation,
sig_05eb53cb556fa18f8c86,contracts_finder,PDS Strategic Delivery Partner (PI1301827) - Request for Information,https://www.contractsfinder.service.gov.uk/Notice/aba3ff64-b927-4b19-af6e-c81e134b86e1,True,candidate,candidate,UNKNOWN,UNKNOWN,,transformation,
sig_0665c7e1997c7e9c6f2a,contracts_finder,"Invitation to Tender for Asbestos Surveying, Sampling, Air Testing and Consultancy Services - AWARD",https://www.contractsfinder.service.gov.uk/Notice/1b163e91-c4d9-4668-b6d3-4dce68128e2e,False,candidate,excluded,AWARDED,AWARDED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_08ffe744b0b35496d55f,contracts_finder,"Further Competition for 126 Beaconview Road, West Bromwich - AWARD",https://www.contractsfinder.service.gov.uk/Notice/4fb79ce7-4ef6-4dae-816b-38a45e014550,False,candidate,excluded,AWARDED,AWARDED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_0d175461f7afd03df9fe,scotland,Public Protection Case Management Software,https://www.publiccontractsscotland.gov.uk/search/show/search_view.aspx?ID=JUL559599,False,candidate,candidate,AWARDED,AWARDED,service,service|workflow,
sig_0e489a84c0326b4a7d8f,digital_outcomes,UK Health Security Agency Research Participant Recuitment Services,https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/73660,False,below_threshold,below_threshold,OPEN,UNKNOWN,,,
sig_1ac3332bfa78a7ac992e,contracts_finder,Sandwell Carers Service - AWARD,https://www.contractsfinder.service.gov.uk/Notice/49823230-8bbe-4eaa-a06a-668ffe3ad9cb,False,candidate,excluded,AWARDED,AWARDED,portals,,"Non-technology service delivery without a stated software, AI or systems scope."
sig_1ced85245423d163ea34,digital_outcomes,"FCDO/DDaT: Digital and Data: CPG/13857/2026 - Digital Products and Services,Corporate Enquiries Handling",https://redirect.contractawardservice.gca.gov.uk/digital-outcomes/opportunities/opportunity-details/project/74534,True,candidate,candidate,OPEN,UNKNOWN,workflow|automation,workflow|automation,
sig_1f1acc51fb7e545ccef8,scotland,Social Care IT Case Management System,https://api.publiccontractsscotland.gov.uk/v1/Notice?id=ocds-r6ebe6-0000818377,False,candidate,candidate,AWARDED,AWARDED,,service,
sig_1f71ccb612a57bef805c,contracts_finder,Graduation Services,https://www.contractsfinder.service.gov.uk/Notice/56ed2f69-cda8-4a5e-95db-267a274a5bf8,False,candidate,below_threshold,EXPIRED,EXPIRED,portals,,
sig_1f78a83939231b7ec8b5,ted,Frankfurt Founders' Fund,https://ted.europa.eu/en/notice/-/detail/718416-2025,True,candidate,candidate,OPEN,OPEN,service,,
sig_22139e390b0e2464e49b,contracts_finder,"Public Relation, Public Affairs & Stakeholder Management Support",https://www.contractsfinder.service.gov.uk/Notice/2f21ee29-ba97-49f6-bc9f-d6d506e1a0e1,False,candidate,candidate,AWARDED,AWARDED,relationships,,
